Species	Common	Category
Coccinia grandis	c("scarlet-fruited gourd", "ivy gourd")	Domesticated Plant GRIN Food
Coccoloba uvifera	seagrape	Domesticated Plant GRIN Food
Coffea liberica	Liberian coffee	Domesticated Plant GRIN Food
Cola nitida	ghanja kola	Domesticated Plant GRIN Food
Cola verticillata	cola	Domesticated Plant GRIN Food
Colubrina elliptica	soldierwood	Domesticated Plant GRIN Food
Conringia orientalis	c("hare's-ear-mustard", "haresear mustard", "treacle haresear", "hare's ear mustard")	Domesticated Plant GRIN Food
Corchorus olitorius	nalta jute	Domesticated Plant GRIN Food
Corchorus trilocularis	threelocule corchorus	Domesticated Plant GRIN Food
Cordia dichotoma	fragrant manjack	Domesticated Plant GRIN Food
Cordia myxa	Assyrian plum	Domesticated Plant GRIN Food
Cordyline fruticosa	tiplant	Domesticated Plant GRIN Food
Cornus capitata	Bentham's cornel	Domesticated Plant GRIN Food
Cornus kousa	c("kousa dogwood", "Japanese dogwood", "kousa")	Domesticated Plant GRIN Food
Cornus mas	c("Cornelian cherry", "sorbet", "cornejo macho")	Domesticated Plant GRIN Food
Corylus colurna	Turkish hazelnut	Domesticated Plant GRIN Food
Corylus heterophylla	Siberian hazelnut	Domesticated Plant GRIN Food
Cosmos caudatus	wild cosmos	Domesticated Plant GRIN Food
Crambe maritima	sea kale	Domesticated Plant GRIN Food
Craniolaria annua	escorzonera	Domesticated Plant GRIN Food
Crassocephalum crepidioides	redflower ragleaf	Domesticated Plant GRIN Food
Crataegus aestivalis	may hawthorn	Domesticated Plant GRIN Food
Crataegus azarolus	c("azarole", "Mediterranean-medlar")	Domesticated Plant GRIN Food
Crataegus crus	c("aubépine ergot-de-coq", "bush hawthorn", "cockspur hawthorn")	Domesticated Plant GRIN Food
Crataegus douglasii	c("river hawthorn", "black hawthorn")	Domesticated Plant GRIN Food
Crataegus mexicana	c("tejocote", "Mexican hawthorn", "manzanita tejocotera")	Domesticated Plant GRIN Food
Crataegus opaca	c("riverflat hawthorn", "western mayhaw", "apple haw")	Domesticated Plant GRIN Food
Crataegus pinnatifida	c("Chinese haw", "Chinese hawthorn")	Domesticated Plant GRIN Food
Crataegus rufula	rusty hawthorn	Domesticated Plant GRIN Food
Crescentia cujete	common calabash tree	Domesticated Plant GRIN Food
Crotalaria cajanifolia	c("chipilín", "chipilín de zope", "chipilín montés")	Domesticated Plant GRIN Food
Crotalaria longirostrata	longbeak rattlebox	Domesticated Plant GRIN Food
Cryptotaenia canadensis	c("honewort", "Canadian honewort")	Domesticated Plant GRIN Food
Cryptotaenia japonica	Japanese honewort	Domesticated Plant GRIN Food
Cucumis anguria	West Indian gherkin	Domesticated Plant GRIN Food
Cucumis ficifolius	cucumis	Domesticated Plant GRIN Food
Cucumis metuliferus	African horned cucumber	Domesticated Plant GRIN Food
Cucurbita ficifolia	figleaf gourd	Domesticated Plant GRIN Food
Cucurbita foetidissima	c("calabazilla", "wild gourd", "wild pumkin", "buffalo gourd", "buffalogourd pumpkin", "Missouri gourd")	Domesticated Plant GRIN Food
Cuphea viscosissima	blue waxweed	Domesticated Plant GRIN Food
Curcuma amada	mango ginger	Domesticated Plant GRIN Food
Curcuma angustifolia	East Indian arrowroot	Domesticated Plant GRIN Food
Cyanthillium cinereum	little ironweed	Domesticated Plant GRIN Food
Cycas revoluta	sago palm	Domesticated Plant GRIN Food
Cyclanthera pedata	cyclanthera	Domesticated Plant GRIN Food
Cyperus compressus	poorland flatsedge	Domesticated Plant GRIN Food
Cyperus esculentus	c("chufa flatsedge", "chufa", "yellow nutgrass", "yellow nutsedge")	Domesticated Plant GRIN Food
Cyperus rotundus	c("chaguan humatag", "cocograss", "kili'o'opu", "pakopako", "purple nutsedge", "nutgrass")	Domesticated Plant GRIN Food
Cyrtosperma merkusii	gallan	Domesticated Plant GRIN Food
Dacryodes edulis	eben tree	Domesticated Plant GRIN Food
Dendrocalamus asper	giant bamboo	Domesticated Plant GRIN Food
Dendrocalamus latiflorus	giant bamboo	Domesticated Plant GRIN Food
Dendrocalamus strictus	male bamboo	Domesticated Plant GRIN Food
Descurainia sophia	c("flixweed", "pinnate tansymustard", "flaxweed tansymustard", "flixweed tansymustard", "herb-sophia", "tansymustard", "herb sophia")	Domesticated Plant GRIN Food
Dialium guineense	velvet tamarind	Domesticated Plant GRIN Food
Digera muricata	false amaranth	Domesticated Plant GRIN Food
Digitaria iburua	black fonio	Domesticated Plant GRIN Food
Dillenia ovata	ovate dillenia	Domesticated Plant GRIN Food
Dillenia philippinensis	Philippine dillenia	Domesticated Plant GRIN Food
Dimocarpus longan	longan	Domesticated Plant GRIN Food
Dioscorea bulbifera	c("air potato", "bitter yam", "air yam")	Domesticated Plant GRIN Food
Dioscorea convolvulacea	yam	Domesticated Plant GRIN Food
Dioscorea dumetorum	bitter yam	Domesticated Plant GRIN Food
Dioscorea esculenta	lesser yam	Domesticated Plant GRIN Food
Dioscorea hispida	intoxicating yam	Domesticated Plant GRIN Food
Dioscorea japonica	Japanese yam	Domesticated Plant GRIN Food
Dioscorea pentaphylla	fiveleaf yam	Domesticated Plant GRIN Food
Dioscorea polystachya	Chinese yam	Domesticated Plant GRIN Food
Dioscorea praehensilis	bush yam	Domesticated Plant GRIN Food
Dioscorea trifida	Indian yam	Domesticated Plant GRIN Food
Diospyros blancoi	mabolo	Domesticated Plant GRIN Food
Diospyros digyna	black sapote	Domesticated Plant GRIN Food
Diospyros lotus	date plum	Domesticated Plant GRIN Food
Diospyros texana	Texas persimmon	Domesticated Plant GRIN Food
Diospyros virginiana	c("eastern persimmon", "common persimmon")	Domesticated Plant GRIN Food
Diplazium esculentum	vegetable fern	Domesticated Plant GRIN Food
Diplotaxis muralis	annual wallrocket	Domesticated Plant GRIN Food
Dipogon lignosus	Okie bean	Domesticated Plant GRIN Food
Dorstenia contrajerva	tusilla	Domesticated Plant GRIN Food
Dovyalis abyssinica	koshum	Domesticated Plant GRIN Food
Dovyalis caffra	kei apple	Domesticated Plant GRIN Food
Dovyalis hebecarpa	Ceylon gooseberry	Domesticated Plant GRIN Food
Dracontomelon dao	Argus pheasant tree	Domesticated Plant GRIN Food
Durio zibethinus	durian	Domesticated Plant GRIN Food
Dyera costulata	jelutong	Domesticated Plant GRIN Food
Echinocereus stramineus	c("Órgano-pequeño sanjuanero", "strawberry hedgehog cactus")	Domesticated Plant GRIN Food
Echinochloa oryzicola	rice barnyardgrass	Domesticated Plant GRIN Food
Echium plantagineum	salvation jane	Domesticated Plant GRIN Food
Elaeagnus angustifolia	c("Russian olive", "Russian-olive", "Trebizond-date", "oleaster")	Domesticated Plant GRIN Food
Eleocharis dulcis	c("Chinese water chestnut", "Chinese waterchestnut")	Domesticated Plant GRIN Food
Eleusine coracana	finger millet	Domesticated Plant GRIN Food
Emilia sonchifolia	lilac tasselflower	Domesticated Plant GRIN Food
Ensete ventricosum	Abyssinian banana	Domesticated Plant GRIN Food
Entada gigas	nicker bean	Domesticated Plant GRIN Food
Entada phaseoloides	St. Thomas bean	Domesticated Plant GRIN Food
Epiphyllum oxypetalum	c("Nopalillo criollo", "Dutchman's pipe cactus")	Domesticated Plant GRIN Food
Eragrostis tef	teff	Domesticated Plant GRIN Food
Erechtites hieraciifolius	c("American burnweed", "burnweed")	Domesticated Plant GRIN Food
Eriobotrya japonica	loquat	Domesticated Plant GRIN Food
Eriogonum davidsonii	c("Davidson's buckwheat", "Davidson's wild buckwheat")	Domesticated Plant GRIN Food
Eruca vesicaria	c("rocket-salad", "rocketsalad")	Domesticated Plant GRIN Food
Erythrina berteroana	machete	Domesticated Plant GRIN Food
Erythrina fusca	c("bucayo", "lucky beantree", "Cape Kaffirboom", "Kaffirboom")	Domesticated Plant GRIN Food
Eugeissona utilis	kadjatoa	Domesticated Plant GRIN Food
Eugenia brasiliensis	grumichama	Domesticated Plant GRIN Food
Eugenia uniflora	c("pitanga", "Suriname cherry")	Domesticated Plant GRIN Food
Euterpe oleracea	Assai palm	Domesticated Plant GRIN Food
Fagopyrum tataricum	c("green buckwheat", "Japanese buckwheat", "Tartary buckwheat")	Domesticated Plant GRIN Food
Falcaria vulgaris	sickleweed	Domesticated Plant GRIN Food
Fernaldia pandurata	loroco	Domesticated Plant GRIN Food
Ficus auriculata	Roxburgh fig	Domesticated Plant GRIN Food
Ficus palmata	Punjab fig	Domesticated Plant GRIN Food
Ficus pumila	climbingfig	Domesticated Plant GRIN Food
Ficus sycomorus	sycamore fig	Domesticated Plant GRIN Food
Flacourtia indica	governor's plum	Domesticated Plant GRIN Food
Flacourtia inermis	batoko plum	Domesticated Plant GRIN Food
Flacourtia jangomas	Indian plum	Domesticated Plant GRIN Food
Flacourtia rukam	rukam	Domesticated Plant GRIN Food
Fragaria chiloensis	beach strawberry	Domesticated Plant GRIN Food
Fragaria vesca	woodland strawberry	Domesticated Plant GRIN Food
Fragaria virginiana	c("thickleaved wild strawberry", "wild strawberry", "Virginia strawberry")	Domesticated Plant GRIN Food
Frangula caroliniana	Carolina buckthorn	Domesticated Plant GRIN Food
Fritillaria camschatcensis	Kamchatka fritillary	Domesticated Plant GRIN Food
Garcinia dulcis	gourka	Domesticated Plant GRIN Food
Garcinia indica	garcinia	Domesticated Plant GRIN Food
Garcinia livingstonei	Livingstone's garcinia	Domesticated Plant GRIN Food
Garcinia multiflora	garcinia	Domesticated Plant GRIN Food
Garcinia xanthochymus	garcinia	Domesticated Plant GRIN Food
Gaultheria shallon	c("shallal", "salal")	Domesticated Plant GRIN Food
Gaylussacia baccata	black huckleberry	Domesticated Plant GRIN Food
Gaylussacia frondosa	c("blue huckleberry", "dangleberry")	Domesticated Plant GRIN Food
Genipa americana	jagua	Domesticated Plant GRIN Food
Ginkgo biloba	c("maidenhair tree", "common ginkgo")	Domesticated Plant GRIN Food
Glebionis segetum	corndaisy	Domesticated Plant GRIN Food
Glyceria fluitans	water mannagrass	Domesticated Plant GRIN Food
Gnetum africanum	African jointfir	Domesticated Plant GRIN Food
Gnetum buchholzianum	jointfir	Domesticated Plant GRIN Food
Gnetum gnemon	buko	Domesticated Plant GRIN Food
Grewia asiatica	phalsa	Domesticated Plant GRIN Food
Grewia occidentalis	crossberry	Domesticated Plant GRIN Food
Guizotia abyssinica	ramtilla	Domesticated Plant GRIN Food
Gundelia tournefortii	Tournefort's gundelia	Domesticated Plant GRIN Food
Gynandropsis gynandra	spiderwisp	Domesticated Plant GRIN Food
Hancornia speciosa	mangabeira	Domesticated Plant GRIN Food
Helianthus tuberosus	c("Jerusalem artichoke", "girasole", "Jerusalem sunflower", "Jerusalem-artichoke")	Domesticated Plant GRIN Food
Hemerocallis citrina	c("citron daylily", "long yellow daylily")	Domesticated Plant GRIN Food
Hemerocallis lilioasphodelus	c("yellow daylily", "lemon lily", "lemon daylily")	Domesticated Plant GRIN Food
Hemerocallis minor	small daylily	Domesticated Plant GRIN Food
Hesperis matronalis	c("dame's rocket", "dames violet", "mother-of-the-evening", "dames rocket")	Domesticated Plant GRIN Food
Hibiscus acetosella	c("African rosemallow", "red-leaf hibiscus", "cranberry hibiscus", "African rose-mallow", "false roselle")	Domesticated Plant GRIN Food
Hibiscus radiatus	c("monarch rosemallow", "monarch rose-mallow")	Domesticated Plant GRIN Food
Hibiscus sabdariffa	roselle	Domesticated Plant GRIN Food
Hippophae rhamnoides	c("seaberry", "seabuckthorn")	Domesticated Plant GRIN Food
Hordeum vulgare	c("common barley", "barley", "cereal barley")	Domesticated Plant GRIN Food
Houttuynia cordata	chameleon	Domesticated Plant GRIN Food
Hovenia dulcis	Japanese raisintree	Domesticated Plant GRIN Food
Hymenaea courbaril	stinkingtoe	Domesticated Plant GRIN Food
Hyphaene thebaica	doum palm	Domesticated Plant GRIN Food
Icacina oliviformis	false yam	Domesticated Plant GRIN Food
Inga edulis	icecreambean	Domesticated Plant GRIN Food
Ipomoea aquatica	c("swamp morningglory", "water spinach", "Chinese waterspinach", "swamp morning-glory")	Domesticated Plant GRIN Food
Ipomoea eriocarpa	morningglory	Domesticated Plant GRIN Food
Ipomoea littoralis	c("whiteflower beach morningglory", "whiteflower beach morning-glory")	Domesticated Plant GRIN Food
Jaltomata procumbens	creeping false holly	Domesticated Plant GRIN Food
Jarilla heterophylla	jarilla	Domesticated Plant GRIN Food
Jubaea chilensis	Chile cocopalm	Domesticated Plant GRIN Food
Juglans ailantifolia	Japanese walnut	Domesticated Plant GRIN Food
Juglans cinerea	c("noyer cendré", "white walnut", "butternut")	Domesticated Plant GRIN Food
Juglans hindsii	c("Hinds's black walnut", "Northern California walnut")	Domesticated Plant GRIN Food
Juglans mandshurica	Manchurian walnut	Domesticated Plant GRIN Food
Juglans neotropica	Andean walnut	Domesticated Plant GRIN Food
Juglans nigra	c("black walnut", "noyer noir")	Domesticated Plant GRIN Food
Kaempferia galanga	galanga	Domesticated Plant GRIN Food
Lablab purpureus	hyacinthbean	Domesticated Plant GRIN Food
Lactuca indica	Indian lettuce	Domesticated Plant GRIN Food
Lagenaria siceraria	bottle gourd	Domesticated Plant GRIN Food
Landolphia heudelotii	landolphia rubber	Domesticated Plant GRIN Food
Lansium domesticum	langsat	Domesticated Plant GRIN Food
Lathyrus ochrus	c("Cyprus-vetch", "ochrus-vetch", "alverjana", "tapisote")	Domesticated Plant GRIN Food
Lathyrus sativus	white pea	Domesticated Plant GRIN Food
Lathyrus tuberosus	c("tuberous sweetpea", "earth-nut pea")	Domesticated Plant GRIN Food
Lecythis minor	c("coco de mono", "lecythis")	Domesticated Plant GRIN Food
Lecythis zabucajo	c("monkeynut", "paradise nut")	Domesticated Plant GRIN Food
Lemna gibba	c("swollen duckweed", "inflated duckweed")	Domesticated Plant GRIN Food
Lepidium coronopus	greater swinecress	Domesticated Plant GRIN Food
Lepidium draba	c("whitetop", "hoary cress")	Domesticated Plant GRIN Food
Lepidium latifolium	c("perennial pepperweed", "broadleaved peppergrass", "tall whitetop", "Virginia pepperweed", "broadleaf pepperweed", "perennial peppercress", "peppergrass mustard", "broadleaved pepperweed")	Domesticated Plant GRIN Food
Lepidium meyenii	maca	Domesticated Plant GRIN Food
Lepidium sativum	c("garden pepperwort", "gardencress pepperweed")	Domesticated Plant GRIN Food
Lilium lancifolium	tiger lily	Domesticated Plant GRIN Food
Limnocharis flava	yellow velvetleaf	Domesticated Plant GRIN Food
Limonia acidissima	Indian woodapple	Domesticated Plant GRIN Food
Litchi chinensis	lychee	Domesticated Plant GRIN Food
Lonicera caerulea	c("sweetberry honeysuckle", "blue honeysuckle", "fly honeysuckle")	Domesticated Plant GRIN Food
Lotus tetragonolobus	winged pea	Domesticated Plant GRIN Food
Luffa acutangula	sinkwa towelsponge	Domesticated Plant GRIN Food
Luffa aegyptiaca	sponge gourd	Domesticated Plant GRIN Food
Lupinus albus	white lupine	Domesticated Plant GRIN Food
Lupinus angustifolius	c("narrowleaf lupine", "blue lupine", "altramuz azul")	Domesticated Plant GRIN Food
Lupinus mutabilis	tarwi	Domesticated Plant GRIN Food
Lycianthes asarifolia	gingerleaf	Domesticated Plant GRIN Food
Lycium barbarum	c("matrimony vine", "matrimonyvine", "matrimony-vine", "common matrimonyvine")	Domesticated Plant GRIN Food
Lycium chinense	Chinese desert-thorn	Domesticated Plant GRIN Food
Macadamia integrifolia	macadamia nut	Domesticated Plant GRIN Food
Macadamia tetraphylla	macadamia nut	Domesticated Plant GRIN Food
Macroptilium gibbosifolium	c("variableleaf bushbean", "wild bushbean")	Domesticated Plant GRIN Food
Macrotyloma geocarpum	geocarpa groundnut	Domesticated Plant GRIN Food
Macrotyloma uniflorum	horsegram	Domesticated Plant GRIN Food
Madhuca longifolia	mahua	Domesticated Plant GRIN Food
Madia sativa	c("coast tarweed", "Chilean tarweed", "tarweed")	Domesticated Plant GRIN Food
Malpighia emarginata	Barbados cherry	Domesticated Plant GRIN Food
Malus angustifolia	c("southern crabapple", "southern crab apple")	Domesticated Plant GRIN Food
Malus baccata	c("Siberian crabapple", "Siberian crab apple")	Domesticated Plant GRIN Food
Malus coronaria	c("sweet crabapple", "sweet crab apple")	Domesticated Plant GRIN Food
Malus hupehensis	c("tea crab apple", "Chinese crab apple")	Domesticated Plant GRIN Food
Malus ioensis	c("prairie crabapple", "prairie crab apple")	Domesticated Plant GRIN Food
Malva neglecta	c("dwarf mallow", "roundleaf mallow", "buttonweed", "cheeseplant", "cheeseweed", "common mallow")	Domesticated Plant GRIN Food
Malva sylvestris	c("high mallow", "garden mallow")	Domesticated Plant GRIN Food
Malva verticillata	c("cluster mallow", "whorled mallow", "clustered mallow", "Chinese mallow", "curled mallow", "mauve verticillée")	Domesticated Plant GRIN Food
Mammea americana	c("mamey", "mammee apple")	Domesticated Plant GRIN Food
Mangifera altissima	pahutan	Domesticated Plant GRIN Food
Mangifera caesia	binjai	Domesticated Plant GRIN Food
Mangifera foetida	bachang	Domesticated Plant GRIN Food
Manilkara zapota	c("naseberry", "sapodilla")	Domesticated Plant GRIN Food
Maranta arundinacea	arrowroot	Domesticated Plant GRIN Food
Matteuccia struthiopteris	ostrich fern	Domesticated Plant GRIN Food
Mauritia flexuosa	muriti	Domesticated Plant GRIN Food
Melicoccus bijugatus	Spanish lime	Domesticated Plant GRIN Food
Melilotus altissimus	tall yellow sweetclover	Domesticated Plant GRIN Food
Mentha suaveolens	c("bigleaf mint", "mint", "apple mint")	Domesticated Plant GRIN Food
Mesembryanthemum crystallinum	c("ice plant", "common iceplant", "crystalline iceplant")	Domesticated Plant GRIN Food
Mespilus germanica	c("medlar", "common medlar")	Domesticated Plant GRIN Food
Metroxylon sagu	sago palm	Domesticated Plant GRIN Food
Mirabilis expansa	mauka	Domesticated Plant GRIN Food
Momordica charantia	balsampear	Domesticated Plant GRIN Food
Momordica cochinchinensis	balsampear	Domesticated Plant GRIN Food
Momordica dioica	balsampear	Domesticated Plant GRIN Food
Monochoria hastata	c("monochoria", "arrowleaf falsepickerelweed")	Domesticated Plant GRIN Food
Monochoria vaginalis	c("pickerel weed", "heartshape falsepickerelweed", "heartshape false pickerelweed")	Domesticated Plant GRIN Food
Monstera deliciosa	tarovine	Domesticated Plant GRIN Food
Morella rubra	red bayberry	Domesticated Plant GRIN Food
Moringa oleifera	c("horseradish tree", "horseradishtree")	Domesticated Plant GRIN Food
Morrenia odorata	latexplant	Domesticated Plant GRIN Food
Morus nigra	black mulberry	Domesticated Plant GRIN Food
Morus rubra	red mulberry	Domesticated Plant GRIN Food
Mucuna pruriens	cowitch	Domesticated Plant GRIN Food
Muntingia calabura	c("strawberrytree", "calabura", "Jamaica cherry")	Domesticated Plant GRIN Food
Musa troglodytarum	fe'i banana	Domesticated Plant GRIN Food
Muscari comosum	tassel grape hyacinth	Domesticated Plant GRIN Food
Nasturtium officinale	watercress	Domesticated Plant GRIN Food
Nelumbo nucifera	sacred lotus	Domesticated Plant GRIN Food
Nephelium lappaceum	c("pulasan", "rambutan")	Domesticated Plant GRIN Food
Neptunia oleracea	garden puff	Domesticated Plant GRIN Food
Ocimum americanum	c("American basil", "hoary basil")	Domesticated Plant GRIN Food
Oenanthe javanica	Java waterdropwort	Domesticated Plant GRIN Food
Ongokea gore	boleko nut	Domesticated Plant GRIN Food
Opuntia ficus	c("Nopal de Castilla", "tuna cactus", "Indian-fig")	Domesticated Plant GRIN Food
Opuntia stricta	c("Nopal estricto", "erect pricklypear")	Domesticated Plant GRIN Food
Oryza sativa	rice	Domesticated Plant GRIN Food
Oxalis tuberosa	oca	Domesticated Plant GRIN Food
Oxytenanthera abyssinica	Abyssinia oxytenanthera	Domesticated Plant GRIN Food
Pachira aquatica	Guiana-chestnut	Domesticated Plant GRIN Food
Pachyrhizus ahipa	yam bean	Domesticated Plant GRIN Food
Pachyrhizus erosus	yam bean	Domesticated Plant GRIN Food
Pachyrhizus tuberosus	ajipo	Domesticated Plant GRIN Food
Palaquium gutta	gutta percha	Domesticated Plant GRIN Food
Pandanus dubius	c("bakong", "pandanus")	Domesticated Plant GRIN Food
Panicum hirticaule	c("Mexican panicgrass", "woodland panic", "roughstalk witchgrass")	Domesticated Plant GRIN Food
Panicum miliaceum	c("blackseeded proso millet", "panic millet", "proso", "wild millet", "wild proso millet", "panicum", "broomcorn millet", "hog millet", "proso millet", "broomcorn panic")	Domesticated Plant GRIN Food
Panicum sumatrense	little millet	Domesticated Plant GRIN Food
Parkia biglobosa	Clapperton's parkia	Domesticated Plant GRIN Food
Parmentiera aculeata	cuachilote	Domesticated Plant GRIN Food
Paspalum scrobiculatum	c("ricegrass paspalum", "kodomillet", "ricegrass", "Kodo-millet")	Domesticated Plant GRIN Food
Passiflora antioquiensis	passionflower	Domesticated Plant GRIN Food
Passiflora caerulea	c("blue passionflower", "bluecrown passionflower")	Domesticated Plant GRIN Food
Passiflora edulis	c("passionflower", "purple granadilla")	Domesticated Plant GRIN Food
Passiflora incarnata	purple passionflower	Domesticated Plant GRIN Food
Passiflora laurifolia	golden bellapple	Domesticated Plant GRIN Food
Passiflora ligularis	c("yellow passionfruit", "sweet granadilla")	Domesticated Plant GRIN Food
Passiflora maliformis	conch apple	Domesticated Plant GRIN Food
Passiflora mixta	passionflower	Domesticated Plant GRIN Food
Passiflora morifolia	woodland passionflower	Domesticated Plant GRIN Food
Passiflora quadrangularis	giant granadilla	Domesticated Plant GRIN Food
Passiflora tarminiana	banana poka	Domesticated Plant GRIN Food
Passiflora tripartita	banana poka	Domesticated Plant GRIN Food
Pastinaca sativa	wild parsnip	Domesticated Plant GRIN Food
Paullinia cupana	guarana	Domesticated Plant GRIN Food
Paullinia yoco	yoco	Domesticated Plant GRIN Food
Pediomelum esculentum	c("large Indian breadroot", "Indian breadroot", "breadroot scurfpea")	Domesticated Plant GRIN Food
Pentaclethra macrophylla	oilbean tree	Domesticated Plant GRIN Food
Pentadesma butyracea	butter tree	Domesticated Plant GRIN Food
Peperomia pellucida	man to man	Domesticated Plant GRIN Food
Pereskia aculeata	Barbados shrub	Domesticated Plant GRIN Food
Pereskia grandifolia	rose cactus	Domesticated Plant GRIN Food
Petasites japonicus	Japanese sweet coltsfoot	Domesticated Plant GRIN Food
Petroselinum crispum	parsley	Domesticated Plant GRIN Food
Phalaris canariensis	c("common canary grass", "common canarygrass", "annual canarygrass")	Domesticated Plant GRIN Food
Phaseolus acutifolius	tepary bean	Domesticated Plant GRIN Food
Phaseolus coccineus	scarlet runner	Domesticated Plant GRIN Food
Phaseolus lunatus	sieva bean	Domesticated Plant GRIN Food
Phaseolus vulgaris	kidney bean	Domesticated Plant GRIN Food
Phoenix sylvestris	wild date palm	Domesticated Plant GRIN Food
Phyllanthus acidus	c("Tahitian gooseberry tree", "Otaheite gooseberry")	Domesticated Plant GRIN Food
Phyllanthus emblica	emblic	Domesticated Plant GRIN Food
Phyllostachys bambusoides	Japanese timber bamboo	Domesticated Plant GRIN Food
Phyllostachys dulcis	sweetshoot bamboo	Domesticated Plant GRIN Food
Phyllostachys edulis	tortoise shell bamboo	Domesticated Plant GRIN Food
Phyllostachys flexuosa	drooping timber bamboo	Domesticated Plant GRIN Food
Physalis alkekengi	strawberry groundcherry	Domesticated Plant GRIN Food
Physalis angulata	c("cutleaf groundcherry", "cut-leaf ground-cherry", "lanceleaf groundcherry")	Domesticated Plant GRIN Food
Physalis grisea	strawberry-tomato	Domesticated Plant GRIN Food
Physalis heterophylla	c("clammy groundcherry", "clammy ground-cherry")	Domesticated Plant GRIN Food
Physalis peruviana	Peruvian groundcherry	Domesticated Plant GRIN Food
Physalis philadelphica	c("Mexican ground-cherry", "Mexican groundcherry")	Domesticated Plant GRIN Food
Physalis pubescens	c("husk tomato", "groundcherry", "husk-tomato")	Domesticated Plant GRIN Food
Phytolacca americana	c("pokeweed", "inkberry", "pigeonberry", "pokeberry", "common pokeweed", "phytolaque d'Amérique", "poke", "American pokeweed")	Domesticated Plant GRIN Food
Phytolacca rivinoides	Venezuelan pokeweed	Domesticated Plant GRIN Food
Pinus cembra	Swiss stone pine	Domesticated Plant GRIN Food
Pinus cembroides	c("Mexican nut pine", "nut pine", "stone pine", "pino piñonero", "piñón de Orizaba", "Mexican pinyon")	Domesticated Plant GRIN Food
Pinus densiflora	c("tanyosho pine", "Japanese red pine", "Japanese umbrella pine")	Domesticated Plant GRIN Food
Pinus edulis	c("twoneedle pinyon", "nut pine", "Colorado pinyon", "pinyon", "two-leaf pinyon", "two-needle pinyon", "piñón de Colorado", "piñon pine", "pinyon pine")	Domesticated Plant GRIN Food
Pinus gerardiana	c("chilghoza pine", "chilgoza pine", "Gerard's pine")	Domesticated Plant GRIN Food
Pinus koraiensis	c("Korean pine", "Chinese pinenut")	Domesticated Plant GRIN Food
Pinus monophylla	c("singleleaf pinyon", "nut pine", "one-leaf pine", "piñón simple")	Domesticated Plant GRIN Food
Pinus pinea	Italian stone pine	Domesticated Plant GRIN Food
Pinus pumila	c("Japanese stone pine", "dwarf Siberian pine")	Domesticated Plant GRIN Food
Pinus quadrifolia	c("nut pine", "four-needle pinyon", "piñón de California", "Parry pinyon")	Domesticated Plant GRIN Food
Pinus sibirica	Siberian pine	Domesticated Plant GRIN Food
Piper methysticum	kava	Domesticated Plant GRIN Food
Pistacia atlantica	Mt. Atlas mastic tree	Domesticated Plant GRIN Food
Pistacia chinensis	Chinese pistache	Domesticated Plant GRIN Food
Pistacia terebinthus	Cyprus turpentine	Domesticated Plant GRIN Food
Pithecellobium dulce	monkeypod	Domesticated Plant GRIN Food
Platycodon grandiflorus	c("balloon-flower", "Chinese-bellflower")	Domesticated Plant GRIN Food
Plectranthus amboinicus	Mexican mint	Domesticated Plant GRIN Food
Plectranthus barbatus	forskohlii	Domesticated Plant GRIN Food
Plectranthus esculentus	kaffir potato	Domesticated Plant GRIN Food
Portulaca oleracea	c("little hogweed", "little-hogweed", "purslane", "common purslane", "akulikuli-kula", "duckweed", "pursley", "wild portulaca", "garden purslane")	Domesticated Plant GRIN Food
Pouteria caimito	abiu	Domesticated Plant GRIN Food
Pouteria campechiana	c("eggfruit tree", "canistel")	Domesticated Plant GRIN Food
Pouteria multiflora	bullytree	Domesticated Plant GRIN Food
Pouteria sapota	c("naseberry", "sapote", "mamey sapote", "mammee sapote")	Domesticated Plant GRIN Food
Primula veris	cowslip primrose	Domesticated Plant GRIN Food
Prosopis alba	algarrobo blanco	Domesticated Plant GRIN Food
Prosopis chilensis	algarrobo	Domesticated Plant GRIN Food
Prosopis laevigata	smooth mesquite	Domesticated Plant GRIN Food
Prunus americana	American plum	Domesticated Plant GRIN Food
Prunus angustifolia	Chickasaw plum	Domesticated Plant GRIN Food
Prunus cerasifera	c("myrobalan plum", "ciruela chabacana", "cherry plum")	Domesticated Plant GRIN Food
Prunus fruticosa	European dwarf cherry	Domesticated Plant GRIN Food
Prunus hortulana	hortulan plum	Domesticated Plant GRIN Food
Prunus maritima	beach plum	Domesticated Plant GRIN Food
Prunus mume	Japanese apricot	Domesticated Plant GRIN Food
Prunus nigra	c("Canadian plum", "black plum")	Domesticated Plant GRIN Food
Prunus padus	European bird cherry	Domesticated Plant GRIN Food
Prunus pumila	c("sandcherry", "sand cherry")	Domesticated Plant GRIN Food
Prunus rivularis	creek plum	Domesticated Plant GRIN Food
Prunus serotina	c("black chokecherry", "black cherry")	Domesticated Plant GRIN Food
Prunus spinosa	blackthorn	Domesticated Plant GRIN Food
Prunus subcordata	Klamath plum	Domesticated Plant GRIN Food
Prunus tomentosa	Nanking cherry	Domesticated Plant GRIN Food
Pseudanamomis umbellulifera	ciruelas	Domesticated Plant GRIN Food
Psidium friedrichsthalianum	wild guava	Domesticated Plant GRIN Food
Psidium guineense	Guinea guava	Domesticated Plant GRIN Food
Psophocarpus tetragonolobus	winged bean	Domesticated Plant GRIN Food
