Species	Common.x	Category.x	Common.y	Category.y
Angelica keiskei	NA	NA	NA	Domesticated Plant GRIN Food
Annona × atemoya	NA	NA	NA	Domesticated Plant GRIN Food
Annona cherimola	Cherimoya	Domesticated Plant Fruit	cherimoya	Domesticated Plant GRIN Food
Annona glabra	Pond apple	Domesticated Plant Fruit	pond apple	Domesticated Plant GRIN Food
Annona liebmanniana	NA	NA	NA	Domesticated Plant GRIN Food
Annona longiflora	NA	NA	NA	Domesticated Plant GRIN Food
Annona macroprophyllata	NA	NA	NA	Domesticated Plant GRIN Food
Annona montana	Mountain soursop	Domesticated Plant Fruit	mountain soursop	Domesticated Plant GRIN Food
Annona mucosa	NA	NA	NA	Domesticated Plant GRIN Food
Annona muricata	Soursop	Domesticated Plant Fruit	soursop	Domesticated Plant GRIN Food
Annona purpurea	Soncoya	Domesticated Plant Fruit	NA	Domesticated Plant GRIN Food
Annona reticulata	Custard apple	Domesticated Plant Fruit	custard apple	Domesticated Plant GRIN Food
Annona squamosa	Sugar-apple	Domesticated Plant Fruit	"c(""sweet sop"", ""sugar apple"")"	Domesticated Plant GRIN Food
Anredera cordifolia	NA	NA	"c(""Gulf madeiravine"", ""mignonette vine"", ""heartleaf madeiravine"")"	Domesticated Plant GRIN Food
Antiaris toxicaria	NA	NA	NA	Domesticated Plant GRIN Food
Antidesma bunius	Bignay	Domesticated Plant Fruit	bignay	Domesticated Plant GRIN Food
Antidesma ghaesembilla	NA	NA	NA	Domesticated Plant GRIN Food
Antidesma platyphyllum	NA	NA	ha'a	Domesticated Plant GRIN Food
Antidesma velutinosum	NA	NA	NA	Domesticated Plant GRIN Food
Aphandra natalia	NA	NA	NA	Domesticated Plant GRIN Food
Aphanes arvensis	NA	NA	field parsley piert	Domesticated Plant GRIN Food
Apios americana	American groundnut	Domesticated Plant Vegetable	"c(""groundnut"", ""potatobean"")"	Domesticated Plant GRIN Food
Apios fortunei	NA	NA	NA	Domesticated Plant GRIN Food
Apium graveolens	Celery	Domesticated Plant Vegetable	wild celery	Domesticated Plant GRIN Food
Apium graveolens	Celery	Domesticated Plant Vegetable	wild celery	Domesticated Plant GRIN Food
Aponogeton distachyos	NA	NA	Cape pondweed	Domesticated Plant GRIN Food
Arachis hypogaea	Peanut	Domesticated Plant Vegetable	peanut	Domesticated Plant GRIN Food
Arachis villosulicarpa	NA	NA	groundnut	Domesticated Plant GRIN Food
Aralia continentalis	NA	NA	NA	Domesticated Plant GRIN Food
Aralia cordata	NA	NA	udo	Domesticated Plant GRIN Food
Aralia elata	NA	NA	Japanese angelica tree	Domesticated Plant GRIN Food
Araucaria angustifolia	NA	NA	Parana pine	Domesticated Plant GRIN Food
Araucaria araucana	NA	NA	"c(""monkeypuzzle tree"", ""monkey puzzle tree"")"	Domesticated Plant GRIN Food
Araucaria bidwillii	NA	NA	bunya bunya	Domesticated Plant GRIN Food
Arbutus unedo	Strawberry tree fruit	Domesticated Plant Fruit	strawberry tree	Domesticated Plant GRIN Food
Archidendron jiringa	NA	NA	NA	Domesticated Plant GRIN Food
Arctium lappa	Burdock	Domesticated Plant Vegetable	"c(""greater burdock"", ""woodland burdock"", ""bardane"", ""great burdock"", ""greater burrdock"")"	Domesticated Plant GRIN Food
Areca caliso	NA	NA	NA	Domesticated Plant GRIN Food
Areca catechu	NA	NA	betel palm	Domesticated Plant GRIN Food
Arenaria serpyllifolia	NA	NA	thymeleaf sandwort	Domesticated Plant GRIN Food
Arenga engleri	NA	NA	NA	Domesticated Plant GRIN Food
Arenga microcarpa	NA	NA	NA	Domesticated Plant GRIN Food
Arenga pinnata	NA	NA	sugar palm	Domesticated Plant GRIN Food
Argania spinosa	NA	NA	NA	Domesticated Plant GRIN Food
Aronia × prunifolia	NA	NA	NA	Domesticated Plant GRIN Food
Aronia melanocarpa	Chokeberry	Domesticated Plant Fruit	black chokeberry	Domesticated Plant GRIN Food
