"","lab","lab_common"
"52","Candida albicans","NA"
"53","Candida glabrata","NA"
"54","Cannabis","hemp"
"55","Caretta caretta","c(""Loggerhead"", ""Tortuga-marina caguama"", ""Loggerhead Sea Turtle"")"
"56","Castanea dentata x Castanea mollissima","NA"
"57","Cenchrus americanus","pearl millet"
"58","Ceratitis capitata","Mediterranean fruit fly"
"59","Cervus nippon","c(""Sika deer"", ""Sika"")"
"60","Channa argus","snakehead"
"61","Chelonia mydas","c(""Green Sea Turtle"", ""Tortuga-marina verde-del Atlántico"", ""common green sea turtle"")"
"62","Chlamydomonas reinhardtii","NA"
"63","Chlorella sorokiniana","NA"
"64","Chlorella sp. Dachan","NA"
"65","Chlorella variabilis","NA"
"66","Chromochloris zofingiensis","NA"
"67","Clupea harengus","c(""Baltic herring"", ""herring"", ""hareng atlantique"", ""Atlantic herring"")"
"68","Coleoptera","c(""beetles"", ""coléoptères"", ""besouro"")"
"69","Columba livia","c(""Paloma doméstica"", ""Rock Dove"", ""pigeon biset"", ""Common Pigeon"", ""Rock Pigeon"")"
"70","Coregonus sp. 'Albock'","NA"
"71","Crocodylus porosus","c(""saltwater crocodile"", ""Estuarine Crocodile"", ""saltie"")"
"72","Crocodylus siamensis","c(""Siamese Crocodile"", ""Siamese Freshwater Crocodile"")"
"73","Cryptococcus amylolentus","NA"
"74","Cryptococcus gattii VGII","NA"
"75","Cryptococcus neoformans var. grubii","NA"
"76","Cryptococcus neoformans var. neoformans","NA"
"77","Cryptosporidium hominis","NA"
"78","Ctenochromis horei","NA"
"79","Culex quinquefasciatus","southern house mosquito"
"80","Cydia pomonella","NA"
"81","Cyprinus carpio","c(""common carp"", ""European carp"", ""carpa común"", ""carpe"")"
"82","Dactylis glomerata","c(""cocksfoot"", ""orchardgrass"", ""orchard grass"")"
"83","Danaus plexippus","c(""monarch butterfly"", ""monarque"", ""Monarch"")"
"84","Daphnia magna","NA"
"85","Daphnia pulex","NA"
"86","Dendrobium","NA"
"87","Dendrocalamus latiflorus","giant bamboo"
"88","Dendroctonus ponderosae","c(""mountain pine beetle"", ""dendroctone du pin ponderosa"")"
"89","Dicentrarchus labrax","c(""European seabass"", ""sea bass"", ""white salmon"")"
"90","Dictyostelium discoideum","NA"
"91","Digitaria exilis","fonio"
"92","Ditylenchus dipsaci","NA"
"93","Drosophila albomicans","NA"
"94","Drosophila hydei","NA"
"95","Drosophila montana","NA"
"96","Drosophila pseudoobscura","NA"
"97","Drosophila pseudoobscura pseudoobscura","NA"
"98","Drosophila serrata","NA"
"99","Drosophila simulans","NA"
"100","Ectocarpus siliculosus","NA"
"101","Equus caballus","c(""feral horse"", ""Horse"")"
"102","Eretmochelys imbricata","c(""carey"", ""Hawksbill"", ""Tortuga-marina de carey"", ""Hawksbill Sea Turtle"")"
"103","Erythranthe guttata","NA"
"104","Erythranthe lutea","NA"
"105","Etheostoma caeruleum","c(""rainbow darter"", ""dard arc-en-ciel"")"
"106","Festuca arundinacea","c(""Alta fescue"", ""coarse fescue"", ""reed fescue"", ""tall fescue"")"
"107","Flammulina velutipes","NA"
"108","Fragaria","strawberry"
"109","Fragaria x ananassa","hybrid strawberry"
"110","Fungi","c(""champignons"", ""Fungo"", ""fungi"")"
"111","Fusarium oxysporum f. sp. cubense","NA"
"112","Fusarium pseudograminearum","NA"
"113","Gallus gallus","Red Junglefowl"
"114","Gasterosteus aculeatus","c(""Alaskan stickleback"", ""threespine stickleback"", ""espinocho"", ""épinoche à trois épines"")"
"115","Gasterosteus aculeatus x Gasterosteus nipponicus","NA"
"116","Gasterosteus nipponicus","NA"
"117","Glycine max","c(""soybean"", ""wild soybean"", ""reseeding soybean"")"
"118","Gossypium hirsutum","c(""upland cotton"", ""algodón"")"
"119","Haplochromis burtoni","NA"
"120","Haplochromis stappersii","NA"
"121","Helianthus","sunflower"
"122","Helianthus tuberosus","c(""Jerusalem artichoke"", ""girasole"", ""Jerusalem sunflower"", ""Jerusalem-artichoke"")"
"123","Heliconius elevatus","NA"
"124","Heliconius pardalinus","NA"
"125","Helicoverpa zea","c(""bollworm"", ""corn earworm"", ""tomato fruitworm"", ""noctuelle de la tomate"", ""ver de l'épi du maïs"")"
"126","Hippeastrum hybrid cultivar","NA"
"127","Hordeum vulgare","c(""common barley"", ""barley"", ""cereal barley"")"
"128","Hordeum vulgare subsp. vulgare","NA"
"129","Hydra oligactis","brown hydra"
"130","Hyla arborea","NA"
"131","Hyla intermedia","NA"
"132","Hyla molleri","NA"
"133","Hyla orientalis","NA"
"134","Hyphantria cunea","c(""fall webworm"", ""chenille à tente estivale"")"
"135","Ictidomys tridecemlineatus","Thirteen-lined Ground Squirrel"
"136","Jatropha curcas","c(""physic nut"", ""Barbados nut"")"
"137","Komagataella phaffii","NA"
"138","Kryptolebias marmoratus","NA"
"139","Lactuca sativa","c(""garden lettuce"", ""lettuce"")"
"140","Larimichthys crocea","yellow croaker"
"141","Leishmania donovani","NA"
"142","Leishmania infantum","NA"
"143","Leishmania major","NA"
"144","Lepidochelys olivacea","c(""Pacific ridley"", ""Olive Ridley"", ""Tortuga-marina escamosa-del Pacífico"", ""Olive Ridley Sea Turtle"", ""Pacific Ridley Sea Turtle"")"
"145","Lolium perenne","c(""perennial rye grass"", ""perennial ryegrass"", ""Italian ryegrass"")"
"146","Lymantria dispar","gypsy moth"
"147","Lysiphlebus fabarum","NA"
"148","Macaca","macaques"
"149","Macaca fascicularis","c(""Long-tailed Macaque"", ""Crab-eating Macaque"")"
"150","Macaca hecki","Heck's Macaque"
"151","Macaca maura","Moor Macaque"
"152","Macaca mulatta","c(""Rhesus Monkey"", ""Rhesus Macaque"")"
"153","Macaca nemestrina","c(""pigtail macaque"", ""Sunda Pig-tailed Macaque"", ""Southern Pig-tailed Macaque"")"
"154","Macaca nemestrina nemestrina","NA"
"155","Malus baccata","c(""Siberian crabapple"", ""Siberian crab apple"")"
"156","Malus domestica","NA"
"157","Malus sieversii","NA"
"158","Malus sylvestris","NA"
