#Non Wild Species used to filter BioProjects from the INSDC SRA in Crandall et al. Metadata preservation and stewardship for genomic data is possible, but must happen now
#Please see the supplemental materials of Toczydlowski et al. 2021 PNAS for how this list was compiled https://doi.org/10.1073/pnas.2107934118
Species	Common	Category	Source
Dioscorea praehensilis	bush yam	Domesticated Plant	GRIN Food
Dioscorea trifida	Indian yam	Domesticated Plant	GRIN Food
Diospyros blancoi	mabolo	Domesticated Plant	GRIN Food
Diospyros digyna	black sapote	Domesticated Plant	GRIN Food
Diospyros lotus	date plum	Domesticated Plant	GRIN Food
Diospyros texana	Texas persimmon	Domesticated Plant	GRIN Food
Diospyros virginiana	"c(""eastern persimmon"", ""common persimmon"")"	Domesticated Plant	GRIN Food
Diplotaxis muralis	annual wallrocket	Domesticated Plant	GRIN Food
Dipogon lignosus	Okie bean	Domesticated Plant	GRIN Food
Dorstenia contrajerva	tusilla	Domesticated Plant	GRIN Food
Dovyalis abyssinica	koshum	Domesticated Plant	GRIN Food
Dovyalis caffra	kei apple	Domesticated Plant	GRIN Food
Durio zibethinus	durian	Domesticated Plant	GRIN Food
Dyera costulata	jelutong	Domesticated Plant	GRIN Food
Eleocharis dulcis	"c(""Chinese water chestnut"", ""Chinese waterchestnut"")"	Domesticated Plant	GRIN Food
Eleusine coracana	finger millet	Domesticated Plant	GRIN Food
Eriobotrya japonica	loquat	Domesticated Plant	GRIN Food
Juglans ailantifolia	Japanese walnut	Domesticated Plant	GRIN Food
Juglans cinerea	"c(""noyer cendré"", ""white walnut"", ""butternut"")"	Domesticated Plant	GRIN Food
Juglans hindsii	"c(""Hinds's black walnut"", ""Northern California walnut"")"	Domesticated Plant	GRIN Food
Juglans mandshurica	Manchurian walnut	Domesticated Plant	GRIN Food
Juglans neotropica	Andean walnut	Domesticated Plant	GRIN Food
Juglans nigra	"c(""black walnut"", ""noyer noir"")"	Domesticated Plant	GRIN Food
Kaempferia galanga	galanga	Domesticated Plant	GRIN Food
Litchi chinensis	lychee	Domesticated Plant	GRIN Food
Paullinia cupana	guarana	Domesticated Plant	GRIN Food
Paullinia yoco	yoco	Domesticated Plant	GRIN Food
Piper methysticum	kava	Domesticated Plant	GRIN Food
Pistacia atlantica	Mt. Atlas mastic tree	Domesticated Plant	GRIN Food
Pistacia chinensis	Chinese pistache	Domesticated Plant	GRIN Food
