Species	Common	Category
Hyaloperonospora arabidopsidis	NA	Human Pathogen VEuPathDB
Neospora caninum	NA	Human Pathogen VEuPathDB
Candida parapsilosis	NA	Human Pathogen VEuPathDB
Tremella mesenterica	NA	Human Pathogen VEuPathDB
Nosema ceranae	NA	Human Pathogen VEuPathDB
Nosema bombycis	NA	Human Pathogen VEuPathDB
Allomyces macrogynus	NA	Human Pathogen VEuPathDB
Plasmodium berghei	NA	Human Pathogen VEuPathDB
Plasmodium knowlesi	NA	Human Pathogen VEuPathDB
Giardia Assemblage B	NA	Human Pathogen VEuPathDB
Aspergillus carbonarius	NA	Human Pathogen VEuPathDB
Puccinia triticina	NA	Human Pathogen VEuPathDB
Spizellomyces punctatus	NA	Human Pathogen VEuPathDB
Hamiltosporidium tvaerminnensis	NA	Human Pathogen VEuPathDB
Giardia Assemblage E	NA	Human Pathogen VEuPathDB
Sclerotinia sclerotiorum	NA	Human Pathogen VEuPathDB
Aspergillus aculeatus	NA	Human Pathogen VEuPathDB
Saprolegnia parasitica	NA	Human Pathogen VEuPathDB
Naegleria gruberi	NA	Human Pathogen VEuPathDB
Rhizophagus irregularis	NA	Human Pathogen VEuPathDB
Melampsora larici-populina	NA	Human Pathogen VEuPathDB
Phytophthora parasitica	NA	Human Pathogen VEuPathDB
Phycomyces blakesleeanus	NA	Human Pathogen VEuPathDB
Phytophthora capsici	NA	Human Pathogen VEuPathDB
Aspergillus brasiliensis	NA	Human Pathogen VEuPathDB
Aspergillus tubingensis	NA	Human Pathogen VEuPathDB
Sordaria macrospora	NA	Human Pathogen VEuPathDB
Cenococcum geophilum	NA	Human Pathogen VEuPathDB
Theileria orientalis	NA	Human Pathogen VEuPathDB
Encephalitozoon intestinalis	NA	Human Pathogen VEuPathDB
Nematocida parisii	NA	Human Pathogen VEuPathDB
Albugo laibachii	NA	Human Pathogen VEuPathDB
Encephalitozoon hellem	NA	Human Pathogen VEuPathDB
Albugo candida	NA	Human Pathogen VEuPathDB
Leishmania mexicana	NA	Human Pathogen VEuPathDB
Vavraia culicis	NA	Human Pathogen VEuPathDB
Leishmania donovani	NA	Human Pathogen VEuPathDB
Vittaforma corneae	NA	Human Pathogen VEuPathDB
Sporisorium reilianum	NA	Human Pathogen VEuPathDB
Aedes aegypti	yellow fever mosquito	Human Pathogen VEuPathDB
Aedes albopictus	Asian tiger mosquito	Human Pathogen VEuPathDB
Anopheles albimanus	NA	Human Pathogen VEuPathDB
Anopheles arabiensis	NA	Human Pathogen VEuPathDB
Aphanomyces astaci	NA	Human Pathogen VEuPathDB
Acanthamoeba astronyxis	NA	Human Pathogen VEuPathDB
Anopheles atroparvus	NA	Human Pathogen VEuPathDB
Anopheles christyi	NA	Human Pathogen VEuPathDB
Anopheles coluzzii	NA	Human Pathogen VEuPathDB
Acanthamoeba sp.	NA	Human Pathogen VEuPathDB
Anopheles culicifacies	NA	Human Pathogen VEuPathDB
Acanthamoeba culbertsoni	NA	Human Pathogen VEuPathDB
Anopheles darlingi	NA	Human Pathogen VEuPathDB
Anopheles dirus	NA	Human Pathogen VEuPathDB
Anopheles epiroticus	NA	Human Pathogen VEuPathDB
Anopheles farauti	NA	Human Pathogen VEuPathDB
Anopheles funestus	African malaria mosquito	Human Pathogen VEuPathDB
Aphanomyces invadans	NA	Human Pathogen VEuPathDB
