Species	Common	Category
Festuca trachyphylla	hard fescue	Domesticated Plant GRIN Lawn
Ficus carica	Figs	Domesticated Plant Khouri et al. 2016
Foeniculum vulgare	Fennel	Domesticated Plant Khouri et al. 2016
Foeniculum vulgare 	Florence fennel	Domesticated Plant Vegetable Wikipedia
Foxtail millet	Setaria italica	Domesticated Plant Khouri et al. 2016
Fragaria × ananassa	Strawberries	Domesticated Plant Khouri et al. 2016
Gallus domesticus	Chicken	Domesticated Animal FAO
Gallus gallus domesticus	Domestic chicken (Gallus gallus domesticus)	Domesticated Animal Wikipedia
Garcinia mangostana	Mangosteens	Domesticated Plant Khouri et al. 2016
Glycine max	Soybean	Domesticated Plant Khouri et al. 2016
Gossypium arboreum	Tree cotton	Domesticated Plant Khouri et al. 2016
Gossypium barbadense	Creole cotton	Domesticated Plant Khouri et al. 2016
Gossypium herbaceum	Levant cotton	Domesticated Plant Khouri et al. 2016
Gossypium hirsutum	Upland cotton	Domesticated Plant Khouri et al. 2016
Gracilaria	Gracilaria seaweeds	Domesticated Aquaculture FAO
Gylcine max	Soybean	Domesticated Plant Other Wikipedia
Helianthus annuus	Sunflower	Domesticated Plant Khouri et al. 2016
Hibiscus cannabinus	Kenaf	Domesticated Plant Other Wikipedia
Hilaria belangeri	"c(""curly mesquite"", ""curly-mesquite"", ""Common curleymesquite"", ""curleymesquite"", ""curlymesquite"")"	Domesticated Plant GRIN Lawn
Holcus mollis	creeping velvetgrass	Domesticated Plant GRIN Lawn
Hordeum vulgare L.	Barley	Domesticated Plant Khouri et al. 2016
Humulus lupulus	Hops	Domesticated Plant Khouri et al. 2016
Hypophthalmichthys molitrix	Silver carp	Domesticated Aquaculture FAO
Hypophthalmichthys nobilis	Bighead carp	Domesticated Aquaculture FAO
Ilex paraguariensis	Mate	Domesticated Plant Khouri et al. 2016
Illicium verum	Badia	Domesticated Plant Khouri et al. 2016
Ipomoea batatas	Sweet potatoes	Domesticated Plant Khouri et al. 2016
Jasminum	Jasmine	Domesticated Plant Other Wikipedia
Juglans ailantifolia	Japanese walnut	Domesticated Plant GRIN Food
Juglans cinerea	"c(""noyer cendré"", ""white walnut"", ""butternut"")"	Domesticated Plant GRIN Food
Juglans hindsii	"c(""Hinds's black walnut"", ""Northern California walnut"")"	Domesticated Plant GRIN Food
Juglans mandshurica	Manchurian walnut	Domesticated Plant GRIN Food
Juglans neotropica	Andean walnut	Domesticated Plant GRIN Food
Juglans nigra	"c(""black walnut"", ""noyer noir"")"	Domesticated Plant GRIN Food
Juglans regia	Walnuts	Domesticated Plant Khouri et al. 2016
Kaempferia galanga	galanga	Domesticated Plant GRIN Food
Kappaphycus alvarezii	Elkhorn sea moss	Domesticated Aquaculture FAO
Koeleria macrantha	"c(""junegrass"", ""prairie Junegrass"")"	Domesticated Plant GRIN Lawn
Labeo rohita	Roho labeo	Domesticated Aquaculture FAO
Lactuca sativa	Lettuce	Domesticated Plant Khouri et al. 2016
Lama glama	Llama	Domesticated Animal FAO
Laminaria japonica	Japanese kelp	Domesticated Aquaculture FAO
Lens culinaris	Lentils	Domesticated Plant Khouri et al. 2016
Linum bienne	pale flax	Domesticated Plant Student
Linum usitatissimum	Linseed	Domesticated Plant Khouri et al. 2016
Litchi chinensis	lychee	Domesticated Plant GRIN Food
Lolium multiflorum	"c(""annual ryegrass"", ""Italian ryegrass"")"	Domesticated Plant GRIN Lawn
Lolium perenne	"c(""perennial rye grass"", ""perennial ryegrass"", ""Italian ryegrass"")"	Domesticated Plant GRIN Lawn
Lonchura striata	Society finch (Lonchura striata domestica)	Domesticated Animal Wikipedia
Lupinus	Lupins	Domesticated Plant Khouri et al. 2016
Lycalopex culpaeus	Fuegian dog (Lycalopex culpaeus)†	Domesticated Animal Wikipedia
Macrobrachium nipponense	Oriental river prawn	Domesticated Aquaculture FAO
Macrobrachium rosenbergii	Giant river prawn	Domesticated Aquaculture FAO
Malus domestica	Apples	Domesticated Plant Khouri et al. 2016
Malus pumila	Apple	Domesticated Plant Fruit Wikipedia
Mangifera indica	Mangoes	Domesticated Plant Khouri et al. 2016
Manihot esculenta	Cassava	Domesticated Plant Khouri et al. 2016
Medicago sativa	Alfalfa	Domesticated Plant Khouri et al. 2016
Megalobrama amblycephala	Wuchang bream	Domesticated Aquaculture FAO
Meleagris gallopavo	Turkey	Domesticated Animal FAO
Melopsittacus undulatus	Budgerigar	Domesticated Animal Student
Mentha balsamea	Peppermint	Domesticated Plant Other Wikipedia
Mentha spicata	Spearmint	Domesticated Plant Other Wikipedia
Mentha × piperita	Peppermint	Domesticated Plant Khouri et al. 2016
Morinda citrifolia	Noni	Domesticated Plant Fruit Wikipedia
Morus alba	White mulberry	Domesticated Plant Fruit Wikipedia
Mus musculus	Fancy mouse and laboratory mouse (Mus musculus domestica)	Domesticated Animal Wikipedia
Musa × paradisiaca	Banana Plantain hybrid	Domesticated Plant Khouri et al. 2016
Musa acuminata	Banana	Domesticated Plant Khouri et al. 2016
Musa balbisiana	Plantain	Domesticated Plant Khouri et al. 2016
Mylopharyngodon piceus	Black carp	Domesticated Aquaculture FAO
Myristica fragrans	"Nutmeg, mace"	Domesticated Plant Khouri et al. 2016
Mytilus chilensis	Chilean mussel	Domesticated Aquaculture FAO
Nicotiana tabacum	Tobacco	Domesticated Plant Other Wikipedia
Numida meleagris	Domestic guineafowl (Numida meleagris domesticus)	Domesticated Animal Wikipedia
Olea europaea	Olives	Domesticated Plant Khouri et al. 2016
Oncorhynchus mykiss	Rainbow trout	Domesticated Aquaculture FAO
Oreochromis	Tilapias nei	Domesticated Aquaculture FAO
Oreochromis niloticus	Nile tilapia	Domesticated Aquaculture FAO
Origanum vulgare	Oregano	Domesticated Plant Other Wikipedia
