project_acc_bioprj	project_index	BioSamples	Runs
PRJNA541567	M0056	95	95
PRJNA542138	E1465	890	890
PRJNA542919	E1473	663	663
PRJNA542967	M0058	122	122
PRJNA544114	E1474	63	63
PRJNA544260	E1476	20	20
PRJNA544364	E1478	5	5
PRJNA544966	E1480	192	192
PRJNA545151	E1481	158	158
PRJNA549138	M0059	303	303
PRJNA549662	E1491	130	130
PRJNA549759	E1492	9	9
PRJNA549908	E1493	137	137
PRJNA551762	E1499	24	24
PRJNA552359	E1502	11	17
PRJNA552618	E1504	225	225
PRJNA552654	M0061	29	29
PRJNA553104	E1507	24	24
PRJNA553554	E1509	8	8
PRJNA553794	E1512	47	47
PRJNA553831	E1513	15	15
PRJNA554161	M0064	61	61
PRJNA554495	E1518	383	383
PRJNA555579	E1521	784	784
PRJNA558355	E1527	368	368
PRJNA559258	E1529	26	26
PRJNA559366	E1531	181	181
PRJNA559669	E1532	24	24
PRJNA560205	E1535	300	300
PRJNA560239	M0065	105	105
PRJNA560272	E1536	204	204
PRJNA560291	E1537	59	59
PRJNA560634	E1541	24	24
PRJNA561365	E1543	47	47
PRJNA562078	E1544	12	12
PRJNA563695	M0066	2881	2881
PRJNA564091	M0067	71	71
PRJNA564121	M0068	224	224
PRJNA564335	E1549	59	62
PRJNA564451	M0069	277	277
PRJNA564770	M0070	466	466
PRJNA564823	M0071	14	14
PRJNA574009	E1563	32	32
PRJNA574782	M0072	37	37
PRJNA575709	E1566	252	270
PRJNA575734	E1567	258	258
PRJNA575968	E1569	259	259
PRJNA576132	M0073	202	202
PRJNA577236	E1572	71	71
PRJNA579094	E1577	29	29
PRJNA579594	M0075	288	288
PRJNA579738	E1579	8	8
PRJNA83443	E1589	23	26
